name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,id,image1,image2
Butt Lift (Bridge),push,beginner,isolation,body only,glutes,hamstrings,"'Lie flat on the floor on your back with the hands by your side and your knees bent. Your feet should be placed around shoulder width. This will be your starting position.', 'Pushing mainly with your heels, lift your hips off the floor while keeping your back straight. Breathe out as you perform this part of the motion and hold at the top for a second.', 'Slowly go back to the starting position as you breathe in.'",strength,Butt_Lift_Bridge,Butt_Lift_Bridge/0.jpg,Butt_Lift_Bridge/1.jpg
Cable Hammer Curls - Rope Attachment,pull,beginner,isolation,cable,biceps,,"'Attach a rope attachment to a low pulley and stand facing the machine about 12 inches away from it.', 'Grasp the rope with a neutral (palms-in) grip and stand straight up keeping the natural arch of the back and your torso stationary.', 'Put your elbows in by your side and keep them there stationary during the entire movement. Tip: Only the forearms should move; not your upper arms. This will be your starting position.', 'Using your biceps, pull your arms up as you exhale until your biceps touch your forearms. Tip: Remember to keep the elbows in and your upper arms stationary.', 'After a 1 second contraction where you squeeze your biceps, slowly start to bring the weight back to the original position.', 'Repeat for the recommended amount of repetitions.'",strength,Cable_Hammer_Curls_-_Rope_Attachment,Cable_Hammer_Curls_-_Rope_Attachment/0.jpg,Cable_Hammer_Curls_-_Rope_Attachment/1.jpg
Cable Judo Flip,pull,beginner,compound,cable,abdominals,,"'Connect a rope attachment to a tower, and move the cable to the lowest pulley position. Stand with your side to the cable with a wide stance, and grab the rope with both hands.', Twist your body away from the pulley as you bring the rope over your shoulder like you're performing a judo flip., 'Shift your weight between your feet as you twist and crunch forward, pulling the cable downward.', 'Return to the starting position and repeat until failure.', 'Then, reposition and repeat the same series of movements on the opposite side.'",strength,Cable_Judo_Flip,Cable_Judo_Flip/0.jpg,Cable_Judo_Flip/1.jpg
Cable Rope Overhead Triceps Extension,push,beginner,isolation,cable,triceps,,"'Attach a rope to the bottom pulley of the pulley machine.', 'Grasping the rope with both hands, extend your arms with your hands directly above your head using a neutral grip (palms facing each other). Your elbows should be in close to your head and the arms should be perpendicular to the floor with the knuckles aimed at the ceiling. This will be your starting position.', 'Slowly lower the rope behind your head as you hold the upper arms stationary. Inhale as you perform this movement and pause when your triceps are fully stretched.', 'Return to the starting position by flexing your triceps as you breathe out.', 'Repeat for the recommended amount of repetitions.'",strength,Cable_Rope_Overhead_Triceps_Extension,Cable_Rope_Overhead_Triceps_Extension/0.jpg,Cable_Rope_Overhead_Triceps_Extension/1.jpg
Cable Shrugs,pull,beginner,isolation,cable,traps,,"'Grasp a cable bar attachment that is attached to a low pulley with a shoulder width or slightly wider overhand (palms facing down) grip.', 'Stand erect close to the pulley with your arms extended in front of you holding the bar. This will be your starting position.', 'Lift the bar by elevating the shoulders as high as possible as you exhale. Hold the contraction at the top for a second. Tip: The arms should remain extended at all times. Refrain from using the biceps to help lift the bar. Only the shoulders should be moving up and down.', 'Lower the bar back to the original position.', 'Repeat for the recommended amount of repetitions.'",strength,Cable_Shrugs,Cable_Shrugs/0.jpg,Cable_Shrugs/1.jpg
Calf Stretch Elbows Against Wall,static,beginner,isolation,,calves,,"'Stand facing a wall from a couple feet away.', 'Lean against the wall, placing your weight on your forearms.', 'Attempt to keep your heels on the ground. Hold for 10-20 seconds. You may move further or closer the wall, making it more or less difficult, respectively.'",stretching,Calf_Stretch_Elbows_Against_Wall,Calf_Stretch_Elbows_Against_Wall/0.jpg,Calf_Stretch_Elbows_Against_Wall/1.jpg
Chair Leg Extended Stretch,static,beginner,isolation,other,hamstrings,adductors,"'Sit upright in a chair and grip the seat on the sides.', 'Raise one leg, extending the knee, flexing the ankle as you do so.', 'Slowly move that leg outward as far as you can, and then back to the center and down.', 'Repeat for your other leg.'",stretching,Chair_Leg_Extended_Stretch,Chair_Leg_Extended_Stretch/0.jpg,Chair_Leg_Extended_Stretch/1.jpg
Chest Push (multiple response),push,beginner,compound,medicine ball,chest,"abdominals, shoulders, triceps","'Begin in a kneeling position facing a wall or utilize a partner. Hold the ball with both hands tight into the chest.', 'Execute the pass by exploding forward and outward with the hips while pushing the ball as hard as possible.', 'Follow through by falling forward, catching yourself with your hands.', 'Immediately return to an upright position. Repeat for the desired number of repetitions.'",plyometrics,Chest_Push_multiple_response,Chest_Push_multiple_response/0.jpg,Chest_Push_multiple_response/1.jpg
Chin To Chest Stretch,static,beginner,,,neck,traps,"'Get into a seated position on the floor.', 'Place both hands at the rear of your head, fingers interlocked, thumbs pointing down and elbows pointing straight ahead. Slowly pull your head down to your chest. Hold for 20-30 seconds.'",stretching,Chin_To_Chest_Stretch,Chin_To_Chest_Stretch/0.jpg,Chin_To_Chest_Stretch/1.jpg
Close-Grip EZ-Bar Press,push,beginner,compound,e-z curl bar,triceps,"chest, shoulders","'Lie on a flat bench with an EZ bar loaded to an appropriate weight.', 'Using a narrow grip lift the bar and hold it straight over your torso with your elbows in. The arms should be perpendicular to the floor. This will be your starting position.', 'Now lower the bar down to your lower chest as you breathe in. Keep the elbows in as you perform this movement.', 'Using the triceps to push the bar back up, press it back to the starting position by extending the elbows as you exhale.', 'Repeat.'",strength,Close-Grip_EZ-Bar_Press,Close-Grip_EZ-Bar_Press/0.jpg,Close-Grip_EZ-Bar_Press/1.jpg
Cross-Body Crunch,pull,beginner,compound,body only,abdominals,,"'Lie flat on your back and bend your knees about 60 degrees.', 'Keep your feet flat on the floor and place your hands loosely behind your head. This will be your starting position.', 'Now curl up and bring your right elbow and shoulder across your body while bring your left knee in toward your left shoulder at the same time. Reach with your elbow and try to touch your knee. Exhale as you perform this movement. Tip: Try to bring your shoulder up towards your knee rather than just your elbow and remember that the key is to contract the abs as you perform the movement; not just to move the elbow.', 'Now go back down to the starting position as you inhale and repeat with the left elbow and the right knee.', 'Continue alternating in this manner until all prescribed repetitions are done.'",strength,Cross-Body_Crunch,Cross-Body_Crunch/0.jpg,Cross-Body_Crunch/1.jpg
Crunches,pull,beginner,isolation,body only,abdominals,,"'Lie flat on your back with your feet flat on the ground, or resting on a bench with your knees bent at a 90 degree angle. If you are resting your feet on a bench, place them three to four inches apart and point your toes inward so they touch.', Now place your hands lightly on either side of your head keeping your elbows in. Tip: Don't lock your fingers behind your head., 'While pushing the small of your back down in the floor to better isolate your abdominal muscles, begin to roll your shoulders off the floor.', Continue to push down as hard as you can with your lower back as you contract your abdominals and exhale. Your shoulders should come up off the floor only about four inches, and your lower back should remain on the floor. At the top of the movement, contract your abdominals hard and keep the contraction for a second. Tip: Focus on slow, controlled movement - don't cheat yourself by using momentum., 'After the one second contraction, begin to come down slowly again to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.'",strength,Crunches,Crunches/0.jpg,Crunches/1.jpg
Decline Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,,"'Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.', 'Once you are laying down, move the dumbbells in front of you at shoulder width. The palms of the hands should be facing each other and the arms should be perpendicular to the floor and fully extended. This will be your starting position.', 'As you breathe in and you keep the upper arms stationary (and elbows in), bring the dumbbells down slowly by moving your forearms in a semicircular motion towards you until your thumbs are next to your ears. Breathe in as you perform this portion of the movement.', 'Lift the dumbbells back to the starting position by contracting the triceps and exhaling.', 'Repeat for the recommended amount of repetitions.'",strength,Decline_Dumbbell_Triceps_Extension,Decline_Dumbbell_Triceps_Extension/0.jpg,Decline_Dumbbell_Triceps_Extension/1.jpg
Depth Jump Leap,push,beginner,compound,other,quadriceps,"abductors, adductors, calves, glutes, hamstrings","'For this drill you will need two boxes or benches, one 12 to 16 inches high and the other 22 to 26 inches high.', 'Stand on one of the two boxes with arms at the sides; feet should be together and slightly off the edge as in the depth jump. Place the other box approximately two or three feet in front of and facing the performer.', 'Begin by dropping off the initial box, landing and simultaneously taking off with both feet.', 'Rebound by driving upward and outward as intensely as possible, using the arms and full extension of the body to jump onto the higher box. Again, allow the legs to absorb the impact.'",plyometrics,Depth_Jump_Leap,Depth_Jump_Leap/0.jpg,Depth_Jump_Leap/1.jpg
Dumbbell Bench Press with Neutral Grip,push,beginner,compound,dumbbell,chest,"shoulders, triceps","'Take a dumbbell in each hand and lay back onto a flat bench. Your feet should be flat on the floor and your shoulder blades retracted.', 'Maintaining a neutral grip, palms facing each other, begin with your arms extended directly above you, perpendicular to the floor. This will be your starting position.', 'Begin the movement by flexing the elbow, lowering the upper arms to the side. Descend until the dumbbells are to your torso.', 'Pause, then extend the elbow and return to the starting position.'",strength,Dumbbell_Bench_Press_with_Neutral_Grip,Dumbbell_Bench_Press_with_Neutral_Grip/0.jpg,Dumbbell_Bench_Press_with_Neutral_Grip/1.jpg
Dumbbell Raise,pull,beginner,compound,dumbbell,shoulders,biceps,"'Grab a dumbbell in each arm and stand up straight with your arms extended by your sides with a slight bend at the elbows and your back straight. This will be your starting position. Tip: The dumbbell should be next to your thighs with the palm of your hands facing back.', 'Use your side shoulders to lift the dumbbells as you exhale. The dumbbells should be to the side of the body as you move them up. Continue to lift it until the dumbbells are nearly in line with your chin. Tip: Your elbows should drive the motion. As you lift the dumbbell, your elbow should always be higher than your forearm. Also, keep your torso stationary and pause for a second at the top of the movement.', 'Lower the dumbbells back down slowly to the starting position. Inhale as you perform this portion of the movement.', 'Repeat for the recommended amount of repetitions.'",strength,Dumbbell_Raise,Dumbbell_Raise/0.jpg,Dumbbell_Raise/1.jpg
Dumbbell Tricep Extension -Pronated Grip,push,beginner,isolation,dumbbell,triceps,,"'Lie down on a flat bench holding two dumbbells directly above your shoulders. Your arms should be fully extended and form a 90 degree angle from your torso and the floor.', 'The palms of your hands should be facing forward, and your elbows should be tucked in. This will be your starting position.', 'Now, inhale and slowly lower the dumbbells until they are near your ears. Be sure to keep your upper arms stationary and your elbows tucked in.', 'Then, exhale and use your triceps to return the weight to the starting position.'",strength,Dumbbell_Tricep_Extension_-Pronated_Grip,Dumbbell_Tricep_Extension_-Pronated_Grip/0.jpg,Dumbbell_Tricep_Extension_-Pronated_Grip/1.jpg
Elbow to Knee,pull,beginner,compound,body only,abdominals,,"'Lie on the floor, crossing your right leg across your bent left knee. Clasp your hands behind your head, beginning with your shoulder blades on the ground. This will be your starting position.', 'Perform the motion by flexing the spine and rotating your torso to bring the left elbow to the right knee.', 'Return to the starting position and repeat the movement for the desired number of repetitions before switching sides.'",strength,Elbow_to_Knee,Elbow_to_Knee/0.jpg,Elbow_to_Knee/1.jpg
External Rotation with Band,pull,beginner,compound,bands,shoulders,,"'Choke the band around a post. The band should be at the same height as your elbow. Stand with your left side to the band a couple of feet away.', 'Grasp the end of the band with your right hand, and keep your elbow pressed firmly to your side. We recommend you hold a pad or foam roll in place with your elbow to keep it firmly in position.', 'With your upper arm in position, your elbow should be flexed to 90 degrees with your hand reaching across the front of your torso. This will be your starting position.', 'Execute the movement by rotating your arm in a backhand motion, keeping your elbow in place.', 'Continue as far as you are able, pause, and then return to the starting position.'",strength,External_Rotation_with_Band,External_Rotation_with_Band/0.jpg,External_Rotation_with_Band/1.jpg
Flexor Incline Dumbbell Curls,pull,beginner,isolation,dumbbell,biceps,,"'Hold the dumbbell towards the side farther from you so that you have more weight on the side closest to you. (This can be done for a good effect on all bicep dumbbell exercises). Now do a normal incline dumbbell curl, but keep your wrists as far back as possible so as to neutralize any stress that is placed on them.', 'Sit on an incline bench that is angled at 45-degrees while holding a dumbbell on each hand.', 'Let your arms hang down on your sides, with the elbows in, and turn the palms of your hands forward with the thumbs pointing away from the body. Tip: You will keep this hand position throughout the movement as there should not be any twisting of the hands as they come up. This will be your starting position.', 'Curl up the two dumbbells at the same time until your biceps are fully contracted and exhale. Tip: Do not swing the arms or use momentum. Keep a controlled motion at all times. Hold the contracted position for a second at the top.', 'As you inhale, slowly go back to the starting position.', 'Repeat for the recommended amount of repetitions.'",strength,Flexor_Incline_Dumbbell_Curls,Flexor_Incline_Dumbbell_Curls/0.jpg,Flexor_Incline_Dumbbell_Curls/1.jpg
Front Incline Dumbbell Raise,push,beginner,isolation,dumbbell,shoulders,,"'Sit down on an incline bench with the incline set anywhere between 30 to 60 degrees while holding a dumbbell on each hand. Tip: You can change the angle to hit the muscle a little differently each time.', 'Extend your arms straight in front of you and have your palms facing down with the dumbbells raised about 1 inch above your thighs. This will be your starting position.', 'Slowly raise the dumbbells straight up until they are slightly above your shoulders, while keeping your elbows locked. Squeeze at the top for a second and make sure you breathe out during this portion of the movement. Tip: Keep your head resting down against the bench and your legs on the floor at all times.', 'Lower the arms back to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.'",strength,Front_Incline_Dumbbell_Raise,Front_Incline_Dumbbell_Raise/0.jpg,Front_Incline_Dumbbell_Raise/1.jpg
Hack Squat,push,beginner,compound,machine,quadriceps,"calves, glutes, hamstrings","'Place the back of your torso against the back pad of the machine and hook your shoulders under the shoulder pads provided.', 'Position your legs in the platform using a shoulder width medium stance with the toes slightly pointed out. Tip: Keep your head up at all times and also maintain the back on the pad at all times.', 'Place your arms on the side handles of the machine and disengage the safety bars (which on most designs is done by moving the side handles from a facing front position to a diagonal position).', 'Now straighten your legs without locking the knees. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section).', 'Begin to slowly lower the unit by bending the knees as you maintain a straight posture with the head up (back on the pad at all times). Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees (which is the point in which the upper legs are below parallel to the floor). Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly.', 'Begin to raise the unit as you exhale by pushing the floor with mainly with the heel of your foot as you straighten the legs again and go back to the starting position.', 'Repeat for the recommended amount of repetitions.'",strength,Hack_Squat,Hack_Squat/0.jpg,Hack_Squat/1.jpg
Hip Circles (prone),pull,beginner,isolation,body only,abductors,adductors,"'Position yourself on your hands and knees on the ground. Maintaining good posture, raise one bent knee off of the ground. This will be your starting position.', 'Keeping the knee in a bent position, rotate the femur in an arc, attempting to make a big circle with your knee.', 'Perform this slowly for a number of repetitions, and repeat on the other side.'",stretching,Hip_Circles_prone,Hip_Circles_prone/0.jpg,Hip_Circles_prone/1.jpg
Hurdle Hops,push,beginner,compound,other,hamstrings,"abductors, adductors, calves, glutes, hamstrings","'Set up a row of hurdles or other small barriers, placing them a few feet apart.', 'Stand in front of the first hurdle with your feet shoulder width apart. This will be your starting position.', 'Begin by jumping with both feet over the first hurdle, swinging both arms as you jump.', 'Absorb the impact of landing by bending the knees, rebounding out of the first leap by jumping over the next hurdle. Continue until you have jumped over all of the hurdles.'",plyometrics,Hurdle_Hops,Hurdle_Hops/0.jpg,Hurdle_Hops/1.jpg
Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,biceps,,"'Sit back on an incline bench with a dumbbell in each hand held at arms length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position.', 'While holding the upper arm stationary, curl the weights forward while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second.', 'Slowly begin to bring the dumbbells back to starting position as your breathe in.', 'Repeat for the recommended amount of repetitions.'",strength,Incline_Dumbbell_Curl,Incline_Dumbbell_Curl/0.jpg,Incline_Dumbbell_Curl/1.jpg
Incline Push-Up,push,beginner,compound,body only,chest,"shoulders, triceps","'Stand facing bench or sturdy elevated platform. Place hands on edge of bench or platform, slightly wider than shoulder width.', 'Position forefoot back from bench or platform with arms and body straight. Arms should be perpendicular to body. Keeping body straight, lower chest to edge of box or platform by bending arms.', 'Push body up until arms are extended. Repeat.'",strength,Incline_Push-Up,Incline_Push-Up/0.jpg,Incline_Push-Up/1.jpg
Internal Rotation with Band,,beginner,isolation,bands,shoulders,,"'Choke the band around a post. The band should be at the same height as your elbow. Stand with your right side to the band a couple of feet away.', 'Grasp the end of the band with your right hand, and keep your elbow pressed firmly to your side. We recommend you hold a pad or foam roll in place with your elbow to keep it firmly in position.', 'With your upper arm in position, your elbow should be flexed to 90 degrees with your hand reaching away from your torso. This will be your starting position.', 'Execute the movement by rotating your arm in a forehand motion, keeping your elbow in place.', 'Continue as far as you are able, pause, and then return to the starting position.'",strength,Internal_Rotation_with_Band,Internal_Rotation_with_Band/0.jpg,Internal_Rotation_with_Band/1.jpg
Isometric Wipers,push,beginner,compound,body only,chest,"abdominals, shoulders, triceps","'Assume a push-up position, supporting your weight on your hands and toes while keeping your body straight. Your hands should be just outside of shoulder width. This will be your starting position.', 'Begin by shifting your body weight as far to one side as possible, allowing the elbow on that side to flex as you lower your body.', 'Reverse the motion by extending the flexed arm, pushing yourself up and then dropping to the other side.', 'Repeat for the desired number of repetitions.'",strength,Isometric_Wipers,Isometric_Wipers/0.jpg,Isometric_Wipers/1.jpg
Knee Circles,pull,beginner,compound,body only,calves,"hamstrings, quadriceps","'Stand with your legs together and hands by your waist.', 'Now move your knees in a circular motion as you breathe normally.', 'Repeat for the recommended amount of repetitions.'",stretching,Knee_Circles,Knee_Circles/0.jpg,Knee_Circles/1.jpg
Kneeling High Pulley Row,pull,beginner,compound,cable,lats,"biceps, middle back","'Select the appropriate weight using a pulley that is above your head. Attach a rope to the cable and kneel a couple of feet away, holding the rope out in front of you with both arms extended. This will be your starting position.', 'Initiate the movement by flexing the elbows and fully retracting your shoulders, pulling the rope toward your upper chest with your elbows out.', 'After pausing briefly, slowly return to the starting position.'",strength,Kneeling_High_Pulley_Row,Kneeling_High_Pulley_Row/0.jpg,Kneeling_High_Pulley_Row/1.jpg
Lateral Cone Hops,push,beginner,compound,other,adductors,"abductors, calves, glutes, hamstrings, quadriceps","'Position a number of cones in a row several feet apart.', 'Stand next to the end of the cones, facing 90 degrees to the direction of travel. This will be your starting position.', 'Begin the jump by dipping with the knees to initiate a stretch reflex, and immediately reverse direction to push off the ground, jumping up and sideways over the cone.', 'Use your legs to absorb impact upon landing, and rebound into the next jump, continuing down the row of cones.'",plyometrics,Lateral_Cone_Hops,Lateral_Cone_Hops/0.jpg,Lateral_Cone_Hops/1.jpg
Leg Press,push,beginner,compound,machine,quadriceps,"calves, glutes, hamstrings","'Using a leg press machine, sit down on the machine and place your legs on the platform directly in front of you at a medium (shoulder width) foot stance. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section).', 'Lower the safety bars holding the weighted platform in place and press the platform all the way up until your legs are fully extended in front of you. Tip: Make sure that you do not lock your knees. Your torso and the legs should make a perfect 90-degree angle. This will be your starting position.', 'As you inhale, slowly lower the platform until your upper and lower legs make a 90-degree angle.', 'Pushing mainly with the heels of your feet and using the quadriceps go back to the starting position as you exhale.', 'Repeat for the recommended amount of repetitions and ensure to lock the safety pins properly once you are done. You do not want that platform falling on you fully loaded.'",strength,Leg_Press,Leg_Press/0.jpg,Leg_Press/1.jpg
Leverage Incline Chest Press,push,beginner,compound,machine,chest,"shoulders, triceps","'Load an appropriate weight onto the pins and adjust the seat for your height. The handles should be near the top of the pectorals at the beginning of the motion. Your chest and head should be up and your shoulder blades retracted. This will be your starting position.', 'Press the handles forward by extending through the elbow.', 'After a brief pause at the top, return the weight just above the start position, keeping tension on the muscles by not returning the weight to the stops until the set is complete.'",strength,Leverage_Incline_Chest_Press,Leverage_Incline_Chest_Press/0.jpg,Leverage_Incline_Chest_Press/1.jpg
Looking At Ceiling,static,beginner,isolation,,quadriceps,,"'Kneel on the floor, holding your heels with both hands.', 'Lift your buttocks up and forward while bringing your head back to look up at the ceiling, to give an arch in your back.'",stretching,Looking_At_Ceiling,Looking_At_Ceiling/0.jpg,Looking_At_Ceiling/1.jpg
Lying Cambered Barbell Row,pull,beginner,isolation,barbell,middle back,"biceps, lats, traps","'Place a cambered bar underneath an exercise bench.', 'Lie face down on the exercise bench and grab the bar using a palms down (pronated grip) that is wider than shoulder width. This will be your starting position.', 'As you exhale row the bar up as you keep the elbows close to your body to either your chest, in order to target the upper mid back, or to your stomach if targeting the lats is your goal.', 'After a second hold at the top, lower back down to the starting position slowly as you inhale.'",strength,Lying_Cambered_Barbell_Row,Lying_Cambered_Barbell_Row/0.jpg,Lying_Cambered_Barbell_Row/1.jpg
Machine Preacher Curls,pull,beginner,isolation,machine,biceps,,"'Sit down on the Preacher Curl Machine and select the weight.', 'Place the back of your upper arms (your triceps) on the preacher pad provided and grab the handles using an underhand grip (palms facing up). Tip: Make sure that when you place the arms on the pad you keep the elbows in. This will be your starting position.', 'Now lift the handles as you exhale and you contract the biceps. At the top of the position make sure that you hold the contraction for a second. Tip: Only the forearms should move. The upper arms should remain stationary and on the pad at all times.', 'Lower the handles slowly back to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.'",strength,Machine_Preacher_Curls,Machine_Preacher_Curls/0.jpg,Machine_Preacher_Curls/1.jpg
